Begin,Time,Batt_Current,Total_Power,3G,LCD,WIFI,CPU_1,CPU_2
270,1458473598587,,1100,0,0,0,31631,
271,1458473599586,,1105,0,0,0,31710,
272,1458473600586,,1104,0,0,0,31710,
273,1458473601585,,1128,0,0,0,31710,
274,1458473602593,,1106,0,0,0,31710,
275,1458473603586,,1104,0,0,0,31710,
276,1458473604588,,1102,,,,,
277,1458473605588,,1090,,,,,
278,1458473606589,,1398,,,,,
279,1458473607591,,669,,,,,
280,1458473608585,,691,,,,,
281,1458473609590,,700,,,,,
